SortingAlgo,SortingType,DataType,DataSize,Minimum Exe,AvgTime,MedianTime,25th,75th,Maximum Exe
 PassPerItem, Ascending, Double,100,19373,134031.27,38295.5,35023.25,143754.0,1074833
 UntilNoChange, Ascending, Double,100,5763,9801.25,9680.0,9244.5,10109.25,21647
 WhileNeeded, Ascending, Double,100,5343,8769.1,8755.5,8239.75,9227.5,18261
 PassPerItem, Ascending, Double,1000,2074924,2874693.41,2436406.0,2273714.75,2934533.25,16441337
 UntilNoChange, Ascending, Double,1000,9876,47159.46,55372.5,17391.25,63821.0,119307
 WhileNeeded, Ascending, Double,1000,9305,42249.06,49427.0,17136.75,55703.5,114034
 PassPerItem, Ascending, Double,10000,229434617,276930069.15,264615007.0,248006153.75,305246250.75,385722775
 UntilNoChange, Ascending, Double,10000,22008,66173.09,27739.0,24154.75,32906.5,540291
 WhileNeeded, Ascending, Double,10000,23229,66336.97,28070.0,25017.75,31543.5,538306
 PassPerItem, Ascending, Float,100,23752,177026.71,86218.5,24043.25,222173.25,1858187
 UntilNoChange, Ascending, Float,100,6829,9746.68,8920.5,7148.75,11729.0,20943
 WhileNeeded, Ascending, Float,100,6551,8701.72,7676.5,6715.25,10762.5,14263
 PassPerItem, Ascending, Float,1000,1712575,2094649.59,1774684.5,1725830.75,1890127.25,18137441
 UntilNoChange, Ascending, Float,1000,9600,40982.54,47866.0,13473.25,52469.0,90533
 WhileNeeded, Ascending, Float,1000,9130,36386.44,44857.0,11144.25,48609.25,78714
 PassPerItem, Ascending, Float,10000,144094492,219142845.08,214927718.5,196858856.25,238302566.5,331577965
 UntilNoChange, Ascending, Float,10000,19302,63916.41,24943.0,22457.5,27902.25,562622
 WhileNeeded, Ascending, Float,10000,15221,60814.92,23827.5,21433.5,26196.75,560526
 PassPerItem, Ascending, Integer,100,19188,163160.81,135255.5,38225.0,191866.5,1041933
 UntilNoChange, Ascending, Integer,100,5831,8789.5,7565.0,7201.25,10202.0,35158
 WhileNeeded, Ascending, Integer,100,5493,7708.37,7004.5,6837.75,8857.25,12996
 PassPerItem, Ascending, Integer,1000,2414753,4811651.19,4823096.5,4566910.25,5106661.75,15793539
 UntilNoChange, Ascending, Integer,1000,14684,48205.55,58001.5,17559.25,65513.75,98890
 WhileNeeded, Ascending, Integer,1000,14331,42409.88,52697.5,15701.75,55737.5,88156
 PassPerItem, Ascending, Integer,10000,284187849,316634296.27,304273091.5,293665702.5,331877777.75,444146080
 UntilNoChange, Ascending, Integer,10000,31400,79234.89,33677.5,32560.5,38251.25,858245
 WhileNeeded, Ascending, Integer,10000,30849,71280.24,32781.0,31832.25,37134.5,691397
 PassPerItem, Descending, Double,100,47743,271112.99,182430.0,50791.75,253548.25,1269290
 UntilNoChange, Descending, Double,100,48624,265168.8,188436.5,50994.5,210834.75,1081222
 WhileNeeded, Descending, Double,100,34230,224654.01,106433.0,91535.0,409576.5,547330
 PassPerItem, Descending, Double,1000,4743539,6261036.78,5225998.0,4902484.75,5921858.0,39966482
 UntilNoChange, Descending, Double,1000,4742167,6095436.68,5219011.5,4893456.75,5992756.0,33784057
 WhileNeeded, Descending, Double,1000,3332806,4399849.85,3596293.0,3453462.5,4280346.0,30881868
 PassPerItem, Descending, Double,10000,418306189,471474142.91,454141101.0,443673602.75,480638724.25,808714359
 UntilNoChange, Descending, Double,10000,449522259,512906983.95,490981914.0,476758968.5,534181535.75,728777719
 WhileNeeded, Descending, Double,10000,289326915,334501580.5,316353538.0,306619344.25,345640093.5,611448438
 PassPerItem, Descending, Float,100,47496,275707.59,181362.0,49941.25,206081.0,1158317
 UntilNoChange, Descending, Float,100,48309,310454.63,189346.5,50622.75,643480.5,1025887
 WhileNeeded, Descending, Float,100,34234,203240.68,106329.5,35774.75,478877.0,624804
 PassPerItem, Descending, Float,1000,4587143,5598888.46,4729720.5,4629436.5,5001988.75,44663907
 UntilNoChange, Descending, Float,1000,4793438,6051540.84,5103313.5,5010470.75,5434265.75,38209249
 WhileNeeded, Descending, Float,1000,3455853,4299333.29,3572766.5,3494200.75,3919738.25,28709898
 PassPerItem, Descending, Float,10000,396699321,480513418.82,458131103.5,435376136.0,516750742.75,742370712
 UntilNoChange, Descending, Float,10000,406442196,490026579.35,468066197.5,451431976.0,515433147.5,733650752
 WhileNeeded, Descending, Float,10000,274347213,339415533.13,316873918.5,295714865.75,374025464.5,529622026
 PassPerItem, Descending, Integer,100,68572,435391.44,210377.5,74157.75,713543.5,3208598
 UntilNoChange, Descending, Integer,100,87044,357686.76,217876.0,90813.5,288612.75,2306357
 WhileNeeded, Descending, Integer,100,52274,267056.39,123750.0,53577.25,388283.25,1260443
 PassPerItem, Descending, Integer,1000,5388899,6654942.38,6020677.0,5844737.75,6301141.75,46240973
 UntilNoChange, Descending, Integer,1000,5250878,6561974.33,6039673.0,5817488.75,6347579.75,39246590
 WhileNeeded, Descending, Integer,1000,3151223,4023066.78,3564673.0,3466524.75,3708288.5,28761407
 PassPerItem, Descending, Integer,10000,406578455,457069665.36,438992653.0,425030282.75,468229990.0,797878536
 UntilNoChange, Descending, Integer,10000,485238130,537464900.55,530287957.5,508170897.5,557521183.25,720457115
 WhileNeeded, Descending, Integer,10000,284533892,316146944.9,304289132.0,293967380.75,335887176.75,480403878
 PassPerItem, Random, Double,100,60692,309485.55,166783.5,104220.75,474640.0,3088046
 UntilNoChange, Random, Double,100,60494,273393.34,156962.0,113719.25,244408.0,1845831
 WhileNeeded, Random, Double,100,53264,196907.01,97822.5,75826.25,351895.5,638357
 PassPerItem, Random, Double,1000,4162560,5219240.11,4324345.0,4210189.0,4617171.0,62050173
 UntilNoChange, Random, Double,1000,3863906,4932689.22,4113027.0,4040777.75,4379354.0,46772418
 WhileNeeded, Random, Double,1000,2785805,3511942.5,2904998.0,2851333.75,3220969.25,28952649
 PassPerItem, Random, Double,10000,476079042,535784648.82,515202656.0,497225691.75,558894340.25,808107754
 UntilNoChange, Random, Double,10000,476160167,528007862.74,510704008.5,498657906.0,551872176.0,788864830
 WhileNeeded, Random, Double,10000,352066833,389420312.44,373422571.0,363978781.25,413024865.0,567995850
 PassPerItem, Random, Float,100,52474,286154.26,143138.0,56090.75,279878.25,1519829
 UntilNoChange, Random, Float,100,46250,237951.21,142607.5,62422.5,258990.75,1047170
 WhileNeeded, Random, Float,100,35749,195826.39,129097.0,56252.75,348310.25,511824
 PassPerItem, Random, Float,1000,4020508,5152139.2,4363755.0,4147627.25,4641265.75,42404653
 UntilNoChange, Random, Float,1000,3920568,5018341.94,4576795.5,4352857.75,4831145.75,33874961
 WhileNeeded, Random, Float,1000,2716887,3698380.51,2916291.0,2801608.25,3203694.75,28391079
 PassPerItem, Random, Float,10000,444479328,531016703.83,515711726.0,477665517.5,550762800.75,785493491
 UntilNoChange, Random, Float,10000,467781546,551657765.37,538990662.0,492795056.5,582258356.75,827747996
 WhileNeeded, Random, Float,10000,298184541,352447772.13,351741806.0,310166362.0,377510614.0,534973387
 PassPerItem, Random, Integer,100,59063,308079.63,161025.0,68716.5,607835.25,1503351
 UntilNoChange, Random, Integer,100,59881,301295.62,161733.0,80996.75,561935.5,1000375
 WhileNeeded, Random, Integer,100,78178,147298.42,88577.5,84715.5,113085.75,653271
 PassPerItem, Random, Integer,1000,6413622,7452461.16,6853509.0,6755296.5,7216147.25,39754857
 UntilNoChange, Random, Integer,1000,7198788,8589068.21,7948312.5,7758825.75,8488477.75,34347531
 WhileNeeded, Random, Integer,1000,4993977,5785281.86,5370706.0,5256828.0,5647504.75,19789286
 PassPerItem, Random, Integer,10000,613903795,657263524.75,648932512.0,636718980.75,669010272.5,951197397
 UntilNoChange, Random, Integer,10000,677392343,742559033.76,729448098.5,714732704.75,763703436.5,928321028
 WhileNeeded, Random, Integer,10000,443394432,475156396.66,461104057.5,453292279.75,485790426.0,601496316
